epoch,acc,loss,top_k_categorical_accuracy,val_acc,val_loss,val_top_k_categorical_accuracy
0,0.017294847328244274,4.592722940080948,0.07430820610687022,0.015625,4.5581121921539305,0.0859375
1,0.044012404580152674,4.40758258149824,0.15267175572519084,0.06875,4.2204648613929745,0.2390625
2,0.09482347328244274,4.020354599443101,0.2744513358778626,0.103125,3.8614399075508117,0.33203125
3,0.13764312977099236,3.721643527955499,0.3682013358778626,0.159375,3.6620449006557463,0.3703125
4,0.18451812977099236,3.459234026552157,0.4376192748091603,0.1875,3.5289998650550842,0.41953125
5,0.23079675572519084,3.2302301830917823,0.5047709923664122,0.196875,3.362640005350113,0.4703125
6,0.27695610687022904,2.9754993842758295,0.5696564885496184,0.209375,3.3522034287452698,0.46796875
7,0.32013358778625955,2.7783512222857873,0.6161736641221374,0.21640625,3.254541677236557,0.4734375
8,0.3686784351145038,2.564259796197178,0.6592318702290076,0.2328125,3.2345648288726805,0.49765625
9,0.4124522900763359,2.3394442359909755,0.7154103053435115,0.24140625,3.148235422372818,0.5359375
10,0.4469227099236641,2.184215094751984,0.7489265267175572,0.26171875,3.191009044647217,0.51484375
11,0.47900763358778625,2.0529283357940558,0.7695610687022901,0.25703125,3.201541656255722,0.51328125
12,0.521469465648855,1.8848451862808402,0.7981870229007634,0.28515625,3.149831676483154,0.54453125
13,0.5645276717557252,1.7133145229962037,0.8250238549618321,0.27265625,3.1581672012805937,0.5375
14,0.5869513358778626,1.6024826225888638,0.8458969465648855,0.26640625,3.25755495429039,0.53046875
