epoch,acc,loss,top_k_categorical_accuracy,val_acc,val_loss,val_top_k_categorical_accuracy
0,0.7453125,0.9763483017683029,0.916875,0.509375,2.0032140612602234,0.796875
1,0.7653125,0.8606473787128925,0.9275,0.55625,1.8578840613365173,0.815625
2,0.78375,0.7671404801309109,0.9409375,0.5,2.1290066242218018,0.78125
3,0.8075,0.7135218366980552,0.9465625,0.559375,1.9444242477416993,0.8
4,0.8103125,0.7075304572284221,0.9478125,0.5625,1.8487066507339478,0.80625
5,0.8134375,0.6597158452868461,0.9559375,0.50625,2.159892570972443,0.790625
6,0.8225,0.662973476499319,0.9546875,0.453125,2.260545790195465,0.78125
7,0.828125,0.6144757035374642,0.9625,0.559375,1.9925806999206543,0.815625
8,0.819375,0.6199951776862145,0.9625,0.534375,2.1251728653907778,0.784375
9,0.844375,0.5962270967662334,0.9571875,0.55,2.015540373325348,0.790625
10,0.8478125,0.5611568613350392,0.9615625,0.56875,1.7998005270957946,0.821875
11,0.835,0.5983264036476612,0.9596875,0.5375,2.0448960423469544,0.790625
12,0.8325,0.5729522490501404,0.965,0.590625,1.7763521194458007,0.84375
13,0.8384375,0.5573191463947296,0.968125,0.55,1.9276880025863647,0.81875
14,0.850625,0.5186425814032555,0.9721875,0.515625,2.2742027044296265,0.775
15,0.8496875,0.5339971746504307,0.965625,0.54375,1.9517903208732605,0.79375
16,0.86125,0.5062599477171897,0.9684375,0.5625,2.0193746447563172,0.7875
17,0.8503125,0.5342307680845261,0.97,0.546875,1.993835985660553,0.79375
18,0.8628125,0.4873622071743011,0.9696875,0.628125,1.7018904209136962,0.828125
19,0.8715625,0.4512336656451225,0.9775,0.56875,1.7257400155067444,0.85
20,0.8734375,0.45243683591485023,0.975625,0.565625,2.1353327870368957,0.79375
21,0.87,0.4649127732217312,0.9765625,0.596875,1.610984468460083,0.8375
22,0.885625,0.41323713079094887,0.9796875,0.603125,1.7745501160621644,0.815625
23,0.86875,0.46475689992308616,0.9753125,0.590625,1.7688273072242737,0.83125
24,0.8765625,0.42584982290863993,0.975625,0.590625,1.8373161792755126,0.834375
25,0.8828125,0.42099825784564016,0.9753125,0.615625,1.7386357188224792,0.85625
26,0.8809375,0.42196972131729127,0.9775,0.565625,1.9598496556282043,0.8
27,0.88375,0.41457932129502295,0.9790625,0.590625,1.8590022325515747,0.834375
28,0.8828125,0.4244594256579876,0.9796875,0.534375,1.974026119709015,0.825
29,0.89625,0.36770955577492714,0.9796875,0.546875,2.0818121910095213,0.7875
30,0.893125,0.39546489141881463,0.981875,0.584375,1.934860396385193,0.8125
31,0.8828125,0.4182293084263802,0.9790625,0.58125,1.716023862361908,0.84375
